Site Name,Collection Day,Collection Month,Collection  Year,Country,Province,City,Location,Latitude,Longitude
Fr10.site01,4,7,2010,France,Var,La Luc en Provence,La Retrache,43.383,6.304
Fr10.site02,4,7,2010,France,Var,Le Cannet des Maures,Societe des Autoroutes Estere parking lot,43.394,6.352
LasMayons,4,7,2010,France,Var,Las Mayons,Le Barlet Forest,43.291,6.331
Fr10.site03,5,7,2010,France,Var,Hyeres,Vieux Salins D' Hyeres,43.127,6.196
Fr10.site04,5,7,2010,France,Var,Hyeres ,Le Capte,43.049,6.147
Fr10.site05,5,7,2010,France,Var,Hyeres ,Le Capte,43.061,6.148
Fr10.site06,5,7,2010,France,Var,Collobriares,glacier (icecream) shop,43.238,6.309
Fr10.site07,6,7,2010,France,Var,Montmeyan,,43.644,6.064
Fr10.site08,6,7,2010,France,Var,Montmeyan,,43.653,6.059
Fr10.site09,6,7,2010,France,Alps-de-Haute-Provence,Quinson,Albiosc,43.725,6.024
Fr10.site10,6,7,2010,France,Alps-de-Haute-Provence,Quinson,Albiosc,43.733,6.020
Fr10.site11,6,7,2010,France,Var,La Luc en Provence,La Retrache,43.383,6.304
Fr10.site12,6,7,2010,France,Var,La Cannet des Mauras,Societe des Autoroutes Estere parking lot,43.394,6.352
Fr10.site13,7,7,2010,France,Var,Mazaugues,,43.356,5.914
Fr10.site14,7,7,2010,France,Var,Plan d'Aups,Nazereth,43.334,5.759
Fr10.site15,10,7,2010,France,Pyrenees-Orientalis,Carberes les Cabanes,,42.657,2.686
Fr10.site16,10,7,2010,France,Pyrenees-Orientalis,St. Jean LaSeille,,42.582,2.872
Fr10.site17,10,7,2010,France,Pyrenees-Orientalis,St. Andre,"Pierre Mendez France, Liberte Egalite Fraternite",42.553,2.965
Fr10.site18,10,7,2010,France,Pyrenees-Orientalis,Canet-Plage,estuary of Tet River,42.713,3.038
Fr10.site19,11,7,2010,France,Pyrenees-Orientalis,St. Esteve,,42.710,2.853
Fr10.site20,11,7,2010,France,Pyrenees-Orientalis,St. Esteve,,42.707,2.839
Fr10.site21,11,7,2010,France,Pyrenees-Orientalis,Bajo,,42.702,2.818
Fr10.site22,14,7,2010,France,Pyrenees-Orientalis,Roissy,Hyatt Regency Paris parking lot,48.991,2.516
Fr11.site01,9,7,2011,France,Drome,,Highway E712,44.72,5.68
SK-A,2,7,2011,Sweden,Skåne,Simrishamn,Kiviks marknadsplats,55.696,14.214
SK-B,7,8,2011,Sweden,Skåne,Skurup,Dybäck,55.402,13.524
UP-A,9,7,2011,Sweden,Uppland,Uppsala,Uppsala-Näs kyrka,59.787,17.592
UP-B,9,7,2011,Sweden,Uppland,Uppsala,Botanical garden,59.850,17.629
UP-C,13,7,2011,Sweden,Uppland,Uppsala,Sunnersta,59.791,17.661
VG,18,7,2011,Sweden,Västergötland,Göteborg,Risholmen norr,57.700,11.801
DM11.site01,8,7,2011,Denmark,Jylland,W Århus,Hasle,56.179,10.164
DM11.site02,20,7,2011,Denmark,Jylland,N Ebeltoft,Dråby,56.244,10.714
